,player,team,comp,surname
0,a sasank srivats,andhra,col_c_k_nayudu,srivats
1,akula vijay,andhra,col_c_k_nayudu,vijay
2,b yeswanth,andhra,col_c_k_nayudu,yeswanth
3,bhargav nandi,andhra,col_c_k_nayudu,nandi
4,dvs sriram,andhra,col_c_k_nayudu,sriram
5,e dharani kumar,andhra,col_c_k_nayudu,kumar
6,g sumith,andhra,col_c_k_nayudu,sumith
7,gsp teja,andhra,col_c_k_nayudu,teja
8,harsha vardhan,andhra,col_c_k_nayudu,vardhan
9,k nikhileshwar,andhra,col_c_k_nayudu,nikhileshwar
10,k nithish kumar reddy,andhra,col_c_k_nayudu,reddy
11,k revanth reddy,andhra,col_c_k_nayudu,reddy
12,k s raju,andhra,col_c_k_nayudu,raju
13,k s s jayanth,andhra,col_c_k_nayudu,jayanth
14,m abhinav,andhra,col_c_k_nayudu,abhinav
15,m hemanth reddy,andhra,col_c_k_nayudu,reddy
16,m lekhaz,andhra,col_c_k_nayudu,lekhaz
17,m ravi kiran,andhra,col_c_k_nayudu,kiran
18,m v bhavendra reddy,andhra,col_c_k_nayudu,reddy
19,pasam naveen,andhra,col_c_k_nayudu,naveen
20,r reddy prakash,andhra,col_c_k_nayudu,prakash
21,s akhil,andhra,col_c_k_nayudu,akhil
22,s k ismail,andhra,col_c_k_nayudu,ismail
23,s k rasheed,andhra,col_c_k_nayudu,rasheed
24,s venkata rahul,andhra,col_c_k_nayudu,rahul
25,saketh ram,andhra,col_c_k_nayudu,ram
26,sdnv prasad,andhra,col_c_k_nayudu,prasad
27,srikar,andhra,col_c_k_nayudu,srikar
28,subramanyam,andhra,col_c_k_nayudu,subramanyam
29,t a hemanth kumar,andhra,col_c_k_nayudu,kumar
30,teja reddy,andhra,col_c_k_nayudu,reddy
31,tripurana vijay,andhra,col_c_k_nayudu,vijay
32,vasu,andhra,col_c_k_nayudu,vasu
33,aakash rana,arunachal pradesh,col_c_k_nayudu,rana
34,abhishek thakur,arunachal pradesh,col_c_k_nayudu,thakur
35,agrem yun,arunachal pradesh,col_c_k_nayudu,yun
