mentioned_players,Competition,Team,negative,neutral,positive,total_mentions,sentiment_score
ashutosh singh,syed_mushtaq_ali_trophy,chhattisgarh,0,0,1,1,1.0
zeeshan ansari,ranji_trophy,uttar pradesh,0,0,1,1,1.0
aniket verma,syed_mushtaq_ali_trophy,madhya pradesh,0,0,2,2,1.0
emanjot singh chahal,col_c_k_nayudu,punjab,0,0,3,3,1.0
emanjot singh chahal,ranji_trophy,punjab,0,0,3,3,1.0
emanjot singh chahal,syed_mushtaq_ali_trophy,punjab,0,0,3,3,1.0
stephen,ranji_trophy,andhra,0,0,2,2,1.0
luckyraj,syed_mushtaq_ali_trophy,saurashtra,0,0,2,2,1.0
zeeshan ansari,syed_mushtaq_ali_trophy,uttar pradesh,0,0,1,1,1.0
yuvraj singh,syed_mushtaq_ali_trophy,haryana,0,0,1,1,1.0
luckyraj,ranji_trophy,saurashtra,0,0,2,2,1.0
luckyraj,col_c_k_nayudu,saurashtra,0,0,2,2,1.0
lucky farman khan,col_c_k_nayudu,arunachal pradesh,0,0,2,2,1.0
shashank upadhyay,col_c_k_nayudu,bihar,0,0,2,2,1.0
stephen,syed_mushtaq_ali_trophy,andhra,0,0,2,2,1.0
bhavyesh donga,syed_mushtaq_ali_trophy,saurashtra,0,0,12,12,1.0
shubhan,col_c_k_nayudu,tamil nadu,0,0,1,1,1.0
aniket verma,ranji_trophy,madhya pradesh,0,0,2,2,1.0
aniket verma,col_c_k_nayudu,madhya pradesh,0,0,2,2,1.0
tom hope,ecb_club,longton,0,0,1,1,1.0
ashutosh singh,ranji_trophy,chhattisgarh,0,0,1,1,1.0
priyesh,col_c_k_nayudu,gujarat,0,0,12,12,1.0
binny,ranji_trophy,bihar,0,0,1,1,1.0
puneet chahal,syed_mushtaq_ali_trophy,delhi,0,0,3,3,1.0
angkrish raghuvanshi,syed_mushtaq_ali_trophy,mumbai,0,0,1,1,1.0
puneet chahal,ranji_trophy,delhi,0,0,3,3,1.0
madhwal a,ranji_trophy,uttarakhand,0,0,2,2,1.0
madhwal a,syed_mushtaq_ali_trophy,uttarakhand,0,0,2,2,1.0
priyesh,syed_mushtaq_ali_trophy,gujarat,0,0,12,12,1.0
priyesh,ranji_trophy,gujarat,0,0,12,12,1.0
binny,syed_mushtaq_ali_trophy,bihar,0,0,1,1,1.0
k sudharsan,syed_mushtaq_ali_trophy,andhra,0,0,1,1,1.0
k sudharsan,ranji_trophy,andhra,0,0,1,1,1.0
reshi,col_c_k_nayudu,sikkim,0,0,2,2,1.0
bhavyesh donga,ranji_trophy,saurashtra,0,0,12,12,1.0
angkrish raghuvanshi,ranji_trophy,mumbai,0,0,1,1,1.0
yuvraj singh,col_c_k_nayudu,rajasthan,0,0,1,1,1.0
a k chahal,syed_mushtaq_ali_trophy,haryana,0,0,3,3,1.0
atharva taide,ranji_trophy,vidarbha,0,0,1,1,1.0
atharva taide,syed_mushtaq_ali_trophy,vidarbha,0,0,1,1,1.0
joshua,syed_mushtaq_ali_trophy,nagaland,0,0,2,2,1.0
suryansh shedge,col_c_k_nayudu,mumbai,0,0,1,1,1.0
suryansh shedge,ranji_trophy,mumbai,0,0,1,1,1.0
suryansh shedge,syed_mushtaq_ali_trophy,mumbai,0,0,1,1,1.0
krish shahapurkar,col_c_k_nayudu,maharashtra,0,0,3,3,1.0
parthiv jayesh,col_c_k_nayudu,kerala,0,0,12,12,1.0
arjun tendulkar,syed_mushtaq_ali_trophy,goa,0,0,2,2,1.0
arjun tendulkar,ranji_trophy,goa,0,0,2,2,1.0
varun aaron,syed_mushtaq_ali_trophy,jharkhand,0,0,1,1,1.0
yuvraj singh,col_c_k_nayudu,gujarat,0,0,1,1,1.0
yuvraj singh,ranji_trophy,haryana,0,0,1,1,1.0
t khan,col_c_k_nayudu,rajasthan,0,0,2,2,1.0
joshua,ranji_trophy,nagaland,0,0,2,2,1.0
yuvraj singh,col_c_k_nayudu,haryana,0,0,1,1,1.0
jayden goodwin,sheffield_shield,wa,0,0,2,2,1.0
naveen,col_c_k_nayudu,mizoram,0,0,2,2,1.0
naveen,ranji_trophy,mizoram,0,0,2,2,1.0
naveen,syed_mushtaq_ali_trophy,mizoram,0,0,2,2,1.0
kirtivardhan upadhyay,col_c_k_nayudu,railways,0,0,2,2,1.0
angkrish raghuvanshi,col_c_k_nayudu,mumbai,0,0,1,1,1.0
jayden goodwin,domestic_one_day,wa,0,0,2,2,1.0
manthan r upadhyay,col_c_k_nayudu,gujarat,0,0,2,2,1.0
saroj,syed_mushtaq_ali_trophy,manipur,0,0,1,1,1.0
saroj,ranji_trophy,manipur,0,0,1,1,1.0
a k chahal,ranji_trophy,haryana,0,0,3,3,1.0
b yeswanth,syed_mushtaq_ali_trophy,andhra,0,4,12,16,0.75
vipraj nigam,ranji_trophy,uttar pradesh,0,1,3,4,0.75
vipraj nigam,col_c_k_nayudu,uttar pradesh,0,1,3,4,0.75
b yeswanth,col_c_k_nayudu,andhra,0,4,12,16,0.75
vipraj nigam,syed_mushtaq_ali_trophy,uttar pradesh,0,1,3,4,0.75
d l chahar,syed_mushtaq_ali_trophy,rajasthan,0,1,3,4,0.75
r d chahar,ranji_trophy,rajasthan,0,1,3,4,0.75
r d chahar,syed_mushtaq_ali_trophy,rajasthan,0,1,3,4,0.75
j singh,syed_mushtaq_ali_trophy,rajasthan,0,1,3,4,0.75
j singh,ranji_trophy,rajasthan,0,1,3,4,0.75
d l chahar,ranji_trophy,rajasthan,0,1,3,4,0.75
neel,col_c_k_nayudu,chandigarh,0,1,2,3,0.6666666666666666
karan,syed_mushtaq_ali_trophy,saurashtra,0,1,2,3,0.6666666666666666
karan,syed_mushtaq_ali_trophy,mizoram,0,1,2,3,0.6666666666666666
karan,ranji_trophy,saurashtra,0,1,2,3,0.6666666666666666
karan,col_c_k_nayudu,mizoram,0,1,2,3,0.6666666666666666
champion,col_c_k_nayudu,manipur,4,10,38,52,0.6538461538461539
